SourceName,DateAccessed,ParentLocation,Location,Period,Dim1,FactValueNumeric
WHO,10/17/2023 10:01,Africa,Guinea,2000,Female,55.3
WHO,10/17/2023 10:01,Africa,Gambia,2019,Both sexes,65.47
WHO,10/17/2023 10:01,Africa,Gambia,2019,Male,63.42
WHO,10/17/2023 10:01,Africa,Gambia,2019,Female,67.65
WHO,10/17/2023 10:01,Africa,Gambia,2015,Both sexes,64.14
WHO,10/17/2023 10:01,Africa,Gambia,2015,Male,62.18
WHO,10/17/2023 10:01,Africa,Gambia,2015,Female,66.28
WHO,10/17/2023 10:01,Africa,Gambia,2010,Both sexes,62.42
WHO,10/17/2023 10:01,Africa,Gambia,2010,Male,60.59
WHO,10/17/2023 10:01,Africa,Gambia,2010,Female,64.47
WHO,10/17/2023 10:01,Africa,Gambia,2000,Both sexes,59.24
WHO,10/17/2023 10:01,Africa,Gambia,2000,Male,57.17
WHO,10/17/2023 10:01,Africa,Gambia,2000,Female,61.63
WHO,10/17/2023 10:01,Africa,Guinea-Bissau,2019,Both sexes,60.22
WHO,10/17/2023 10:01,Africa,Guinea-Bissau,2019,Male,57.36
WHO,10/17/2023 10:01,Africa,Guinea-Bissau,2019,Female,62.98
WHO,10/17/2023 10:01,Africa,Guinea-Bissau,2015,Both sexes,58.23
WHO,10/17/2023 10:01,Africa,Guinea-Bissau,2015,Male,55.53
WHO,10/17/2023 10:01,Africa,Guinea-Bissau,2015,Female,60.81
WHO,10/17/2023 10:01,Africa,Guinea-Bissau,2010,Both sexes,55.43
WHO,10/17/2023 10:01,Africa,Guinea-Bissau,2010,Male,53.05
WHO,10/17/2023 10:01,Africa,Guinea-Bissau,2010,Female,57.68
WHO,10/17/2023 10:01,Africa,Guinea-Bissau,2000,Both sexes,50.28
WHO,10/17/2023 10:01,Africa,Guinea-Bissau,2000,Male,47.77
WHO,10/17/2023 10:01,Africa,Guinea-Bissau,2000,Female,52.76
WHO,10/17/2023 10:01,Africa,Equatorial Guinea,2019,Both sexes,62.19
WHO,10/17/2023 10:01,Africa,Equatorial Guinea,2019,Male,60.87
WHO,10/17/2023 10:01,Africa,Equatorial Guinea,2019,Female,63.58
WHO,10/17/2023 10:01,Africa,Equatorial Guinea,2015,Both sexes,61.13
WHO,10/17/2023 10:01,Africa,Equatorial Guinea,2015,Male,60.28
WHO,10/17/2023 10:01,Africa,Equatorial Guinea,2015,Female,61.83
WHO,10/17/2023 10:01,Africa,Equatorial Guinea,2010,Both sexes,59.65
WHO,10/17/2023 10:01,Africa,Equatorial Guinea,2010,Male,59.75
WHO,10/17/2023 10:01,Africa,Equatorial Guinea,2010,Female,59.12
WHO,10/17/2023 10:01,Africa,Equatorial Guinea,2000,Both sexes,54.31
WHO,10/17/2023 10:01,Africa,Equatorial Guinea,2000,Male,52.37
WHO,10/17/2023 10:01,Africa,Equatorial Guinea,2000,Female,56.49
WHO,10/17/2023 10:01,Africa,Kenya,2019,Both sexes,66.09
WHO,10/17/2023 10:01,Africa,Kenya,2019,Male,63.7
WHO,10/17/2023 10:01,Africa,Kenya,2019,Female,68.44
WHO,10/17/2023 10:01,Africa,Kenya,2015,Both sexes,64.17
WHO,10/17/2023 10:01,Africa,Kenya,2015,Male,61.71
WHO,10/17/2023 10:01,Africa,Kenya,2015,Female,66.62
WHO,10/17/2023 10:01,Africa,Kenya,2010,Both sexes,61.18
WHO,10/17/2023 10:01,Africa,Kenya,2010,Male,59.23
WHO,10/17/2023 10:01,Africa,Kenya,2010,Female,63.07
WHO,10/17/2023 10:01,Africa,Kenya,2000,Both sexes,53.87
WHO,10/17/2023 10:01,Africa,Kenya,2000,Male,52.85
WHO,10/17/2023 10:01,Africa,Kenya,2000,Female,54.91
WHO,10/17/2023 10:01,Africa,Liberia,2019,Both sexes,64.08
WHO,10/17/2023 10:01,Africa,Liberia,2019,Male,63.15
WHO,10/17/2023 10:01,Africa,Liberia,2019,Female,65
WHO,10/17/2023 10:01,Africa,Liberia,2015,Both sexes,61.17
WHO,10/17/2023 10:01,Africa,Liberia,2015,Male,60.65
WHO,10/17/2023 10:01,Africa,Liberia,2015,Female,61.68
WHO,10/17/2023 10:01,Africa,Liberia,2010,Both sexes,60.7
WHO,10/17/2023 10:01,Africa,Liberia,2010,Male,60.07
WHO,10/17/2023 10:01,Africa,Liberia,2010,Female,61.32
WHO,10/17/2023 10:01,Africa,Liberia,2000,Both sexes,53.77
WHO,10/17/2023 10:01,Africa,Liberia,2000,Male,52.89
WHO,10/17/2023 10:01,Africa,Liberia,2000,Female,54.67
WHO,10/17/2023 10:01,Africa,Lesotho,2019,Both sexes,50.75
WHO,10/17/2023 10:01,Africa,Lesotho,2019,Male,47.66
